"";"Year";"Mo";"Da";"Ho";"Area";"Lat";"Lon";"Dep";"M"
"309";1751;11;21;NA;"[Haiti]";18,54;-72,32;NA;6,6
"310";1754;6;15;NA;"[Corinth]";37,8;22,8;NA;7
"311";1754;8;18;7;"Indonesia";-3,5;128,5;NA;7
"312";1754;9;1;NA;"Costa de Guerrero";16,8;-100;NA;7,8
"313";1754;10;NA;NA;"Gulf of Suez ?";29,6;32,2;NA;6,6
"314";1755;11;1;9;"Lisboa";36,5;-10;NA;8,5
"315";1756;2;13;NA;"Rhodos";36,3;27,5;NA;7,5
"316";1756;11;3;NA;"Indonesia";-4,5;101,4;NA;7,9
"317";1757;10;4;NA;"Alotenango";14,5;-90,75;NA;6,8
"318";1759;11;25;NA;"[Lebanon]";33,7;35,9;30;7,4
"319";1760;7;11;NA;"[Cuba]";19,9;-76;30;6,7
"320";1761;3;31;12;"SW. Cabo San Vicente";36;-10,5;NA;7,5
"321";1762;4;2;NA;"Arakan";20;93,5;NA;8,8
"322";1762;10;31;14;"Sado";38,1;138,7;NA;7
"323";1763;1;29;18;"Aomori Pref. (Hachinohe and others)";41;142,5;NA;7,7
"324";1763;3;11;12;"Aomori Pref. (Hachinohe)";41;142;NA;7,3
"325";1763;3;15;14;"Aomori Pref. (Hachinohe)";41;142;NA;7
"326";1763;9;12;9;"Indonesia";-6,7;130;NA;7
"327";1764;NA;NA;NA;"Quezaltenango";14,833;-91,833;NA;6,8
"328";1765;6;2;NA;"[Guatemala]";14,83;-89,5;NA;6,9
"329";1765;10;24;NA;"Ostuncalco to Tacana";15;-91,917;NA;7,9
"330";1766;3;8;18;"Aomori, Hirosaki";40,73;140,59;10;7,3
"331";1766;5;22;NA;"Istanbul";40,837;29,463;NA;6,76
"332";1766;6;11;23;"Cuba";20,533;-76,8;NA;7,5
"333";1766;8;5;NA;"Marmara Sea";40,665;27,108;NA;7,08
"334";1766;10;21;4;"Trinidad";11;-62,5;85;7
"335";1767;10;22;NA;"Honshu";35,13;139,05;NA;7
"336";1769;8;29;15;"Oita, Miyazaki and Kumamoto Pref.";33;132,1;NA;7,8
"337";1770;NA;NA;NA;"Indonesia";-5,3;102;NA;7
"338";1770;6;3;NA;"[Haiti]";18,5;-72,86;NA;7,5
"339";1771;4;24;8;"Yae-yama mountain, Miyako Islands";24;124,3;NA;7,4
"340";1772;6;3;NA;"Japan";39,5;143,5;NA;7,5
"341";1772;6;15;NA;"S Antonio Suchitepequez";14,583;-91,5;NA;7
"342";1773;7;29;NA;"Antigua to L. Atitlan";14,667;-91,167;NA;7,5
"343";1773;9;7;NA;"Antigua";14,5;-90,75;NA;6,8
"344";1773;12;13;NA;"Antigua";14,583;-91,5;NA;7,1
"345";1776;3;30;NA;"Cuilapa";14,25;-90,25;NA;7,2
"346";1776;4;21;NA;"Acapulco";16,8;-100;NA;7,7
"347";1776;5;30;NA;"Santa Ana and Ahuachapan provinces";13,833;-89,833;NA;7,9
"348";1776;7;6;NA;"San Salvador";13,583;-89;NA;6,8
"349";1776;11;15;NA;"San Salvador";13,583;-89;NA;7
"350";1777;3;30;1;"Ambon";-4;128;NA;7
"351";1780;1;8;24;"Tabriz";38,2;46;NA;7,7
"352";1780;1;19;NA;"Kuril Islands";45,8;152;40;7
"353";1780;1;22;7;"Java";-8,6;105,5;NA;8,5
"354";1780;5;31;NA;"Japan";45,3;151,2;NA;7
